kappa,gamma,alpha,alpha_std,sigma,sigma_std
0.1,1,0.86239721829388,0.00245903517289868,1.72471391340091,0.0149068732541039
0.15,1,0.891431517358754,0.00641296002793853,1.7811541635318,0.0178464248766887
0.2,1,0.910129126820545,0.00456558860993337,1.82710030976614,0.0159006230554861
0.25,1,0.939424236577516,0.0116768047231175,1.88968752884016,0.0111739437655512
0.3,1,0.962438774251064,0.0143910231691239,1.92160667177716,0.00851294798852366
0.35,1,0.976944842137209,0.0179802345023175,1.94122874225643,0.00857501685413322
0.4,1,0.977665192789965,0.0300433362200183,1.96370578213135,0.0149910212464396
