mse_mcmc,std_mcmc,mse_iter,std_iter
0.809875395656631,0.072747520655061,0.807041153337092,0.000907552075652594
0.813662279787599,0.0868888249117871,0.812610688030021,0.00126815655295639
0.810595721184422,0.0323337332981296,0.819570958786503,0.00290725362506184
0.818150106720677,0.0352139444728049,0.824814622878081,0.00303216695916057
0.834879272943386,0.0280187254417214,0.829129254768188,0.00333682116497882
0.819964968200335,0.0455587217361842,0.835184367897439,0.00249782927908572
0.841604173783039,0.0249074609144724,0.837556887174466,0.0035941232704619
0.861110884270386,0.0355875294834329,0.842443495029959,0.00400229029985649
0.861025024114205,0.033552296857804,0.846198614886915,0.00340198841766359
0.845671733832704,0.0434467948691314,0.85075834778752,0.00290973159331989
