1.000000000000000000e+01,2.292122455137137749e-01,3.671687807326625558e-03
5.000000000000000000e+00,2.384073717308296259e-01,3.310709327539703914e-03
3.333333333333333481e+00,2.425862185762128476e-01,3.939007355663080162e-03
2.500000000000000000e+00,2.461987985496685294e-01,3.609153946242835750e-03
2.000000000000000000e+00,2.477255741109335718e-01,3.964133889527396946e-03
1.666666666666666741e+00,2.515968641691017083e-01,4.035297324410666055e-03
1.428571428571428603e+00,2.514040943063867717e-01,4.025648043357353892e-03
1.250000000000000000e+00,2.531438742765746985e-01,3.030518856387705816e-03
1.111111111111111160e+00,2.547208272877356516e-01,3.623125597725052223e-03
1.000000000000000000e+00,2.565228123213625921e-01,3.715349299796385368e-03
