kappa,gamma,alpha,alpha_std,sigma,sigma_std
0.1,1,1.12408845231438,0.00334316534070005,2.61808254829018,0.0108395933227774
0.15,1,1.20515210163395,0.00310849681138218,2.897125462916,0.00833785539128945
0.2,1,1.310547871505,0.00589307206322257,3.27152884269919,0.0182198114160422
0.25,1,1.45479488866086,0.00527733991961487,3.77905422158954,0.0131225795715081
0.3,1,1.66774815005425,0.0058012612066282,4.54124003693387,0.0201865796431843
0.35,1,2.02971168241897,0.0162654588159737,5.87772969375812,0.0497313185548244
0.4,1,2.38667040750402,0.0486973077995176,6.37635007298507,0.86968922998182
