kappa,gamma,alpha,alpha_std,sigma,sigma_std
0.1,0.1,0.743151270616111,0.0035865635210296,1.48785847018454,0.00995679518783774
0.1,0.5,0.793451529078939,0.00499776952571547,1.60771159376458,0.0187577002833557
0.1,1,0.847618984653791,0.00294724012015489,1.71189195440601,0.0130544427456561
0.1,3,0.968133582516122,0.00476117322649877,1.97515403567095,0.0148602574708767
0.1,5,1.01124095218713,0.00682230937564839,2.10417615004106,0.0147828045535759
0.1,7,1.03098625517781,0.00666696223689618,2.15043899633155,0.0127355205278047
0.1,9,1.01740856618662,0.00339122747091929,2.16247120639244,0.0269786562668807
