kappa,gamma,alpha,alpha_std,sigma,sigma_std
0.1,0.1,1.11088341060309,0.0113456098118712,2.35025294657562,0.00158297156966008
0.1,0.5,1.11678801212478,0.00452136053050819,2.4229809929468,0.00706327985015148
0.1,1,1.1221957793503,0.00247143529640626,2.61146183058317,0.00729932956831016
0.1,3,1.2091578069386,0.00707406075560203,3.90050169821431,0.061265875396963
0.1,5,1.37158425440977,0.00970769511326386,5.74611751628882,0.086429655764756
0.1,7,1.77227085146419,0.195484785577234,9.08164722161881,0.378710604147475
0.1,9,2.07400860349558,0.0473477329768232,11.9810253089829,0.617715578586073
