kappa,gamma,alpha_mle,sigma_mle,mse_mle,alpha_bayes,sigma_bayes,mse_bayes
0.1,3,1.20797527613253,3.88128658949334,1.71707433656916,0.196326003177307,0.445120066668515,0.66790654580796
0.1,4,1.27498858362065,4.70138880826121,1.45705976652443,0.175594203520492,0.416851780608306,0.690505255206282
0.1,5,1.3657229401565,5.71243544568856,1.43903001780308,0.156783783689621,0.396871023862418,0.717313851832056
0.1,6,1.49932716987646,7.03651671909509,1.62467672085752,0.14103628761302,0.374737522174191,0.741719442823324
0.1,7,1.71191353653109,9.03168648708667,2.17154253249669,0.12684224540757,0.358736539614892,0.765030829810095
0.1,8,2.00899175769971,11.7335580698991,3.16925788241369,0.114752246665047,0.342673871119345,0.785498356377519
0.1,9,2.07777363708925,12.0715987741501,2.96065153087944,0.104850202933775,0.322948547049376,0.802580761212904
